Clt,Équipe,MJ,V,N,D,BM,BE,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Notes
1,Manchester United,38,28,7,3,97,45,+52,91,55107,Dwight Yorke - 20,Mark Bosnich,→ UEFA Champions League grâce à sa bonne place dans le classement
2,Arsenal,38,22,7,9,73,43,+30,73,38033,Thierry Henry - 17,David Seaman,→ UEFA Champions League grâce à sa bonne place dans le classement
3,Leeds United,38,21,6,11,58,43,+15,69,39154,Michael Bridges - 19,Nigel Martyn,→ UEFA Champions League grâce à sa bonne place dans le classement
4,Liverpool,38,19,10,9,51,30,+21,67,41757,Michael Owen - 11,Sander Westerveld,→ UEFA Europa League grâce à sa bonne place dans le classement
5,Chelsea,38,18,11,9,53,34,+19,65,34533,Gus Poyet / Tore André Flo - 10,Ed de Goey,→ UEFA League grâce à sa victoire en FA Cup
6,Aston Villa,38,15,13,10,46,35,+11,58,31696,Dion Dublin - 12,David James,→ UEFA Intertoto Cup grâce à sa bonne place dans le classement
7,Sunderland,38,16,10,12,57,56,+1,58,39300,Kevin Phillips - 30,Thomas Sørensen,
8,Leicester City,38,16,7,15,55,55,0,55,18884,Tony Cottee - 13,Tim Flowers,→ UEFA Europa League grâce à sa victoire en League Cup
9,West Ham United,38,15,10,13,52,53,-1,55,25093,Paolo Di Canio - 16,Shaka Hislop,
10,Tottenham Hotspur,38,15,8,15,57,49,+8,53,31186,Steffen Iversen / Chris Armstrong - 14,Ian Walker,
11,Newcastle United,38,14,10,14,63,54,+9,52,36321,Alan Shearer - 23,Steve Harper,
12,Middlesbrough,38,14,10,14,46,52,-6,52,33393,Hamilton Ricard - 12,Mark Schwarzer,
13,Everton,38,12,14,12,59,49,+10,50,34827,Kevin Campbell - 12,Paul Gerrard,
14,Coventry City,38,12,8,18,47,54,-7,44,20808,Robbie Keane - 12,Magnus Hedman,
15,Southampton,38,12,8,18,45,62,-17,44,15131,Marians Pahars - 13,Paul Jones,
16,Derby County,38,9,11,18,44,57,-13,38,29351,Rory Delap - 8,Mart Poom,
17,Bradford City,38,9,9,20,38,68,-30,36,18030,Dean Windass - 10,Matt Clarke,→ UEFA Intertoto Cup grâce à sa bonne place dans le classement
18,Wimbledon,38,7,12,19,46,74,-28,33,17131,John Hartson / Carl Cort - 9,Neil Sullivan,Relégué
19,Sheffield Wednesday,38,8,7,23,38,70,-32,31,24855,Gilles De Bilde - 10,Pavel Srníček,Relégué
20,Watford,38,6,6,26,35,77,-42,24,19431,Heiðar Helguson - 6,Alec Chamberlain,Relégué
