Clt,Équipe,MJ,V,N,D,BM,BE,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Notes
1,Manchester City,38,27,5,6,102,37,+65,86,47075,Yaya Touré - 20,Joe Hart,→ UEFA Champions League grâce à sa bonne place dans le classement et victoire en League Cup
2,Liverpool,38,26,6,6,101,50,+51,84,44671,Luis Suárez - 31,Simon Mignolet,→ UEFA Champions League grâce à sa bonne place dans le classement
3,Chelsea,38,25,7,6,71,27,+44,82,41482,Eden Hazard - 14,Petr Čech,→ UEFA Champions League grâce à sa bonne place dans le classement
4,Arsenal,38,24,7,7,68,41,+27,79,60013,Olivier Giroud - 16,Wojciech Szczęsny,→ UEFA Champions League grâce à sa bonne place dans le classement et victoire en FA Cup
5,Everton,38,21,9,8,61,39,+22,72,37732,Romelu Lukaku - 15,Tim Howard,→ UEFA Europa League grâce à sa bonne place dans le classement 1
6,Tottenham Hotspur,38,21,6,11,55,51,+4,69,35808,Emmanuel Adebayor - 11,Hugo Lloris,→ UEFA Europa League grâce à sa bonne place dans le classement
7,Manchester United,38,19,7,12,64,43,+21,64,75207,Wayne Rooney - 17,David de Gea,
8,Southampton,38,15,11,12,54,46,+8,56,30212,Jay Rodriguez - 15,Artur Boruc,
9,Stoke City,38,13,11,14,45,52,-7,50,26137,Peter Crouch / Charlie Adam - 8,Asmir Begović,
10,Newcastle United,38,15,4,19,43,59,-16,49,50395,Loïc Rémy - 14,Tim Krul,
11,Crystal Palace,38,13,6,19,33,48,-15,45,24375,Dwight Gayle / Jason Puncheon - 7,Julián Speroni,
12,Swansea City,38,11,9,18,54,54,0,42,20407,Wilfried Bony - 16,Michel Vorm,
13,West Ham United,38,11,7,20,40,51,-11,40,34197,Kevin Nolan - 7,Adrián,
14,Sunderland,38,10,8,20,41,60,-19,38,41090,Adam Johnson - 8,Vito Mannone,
15,Aston Villa,38,10,8,20,39,61,-22,38,36081,Christian Benteke - 10,Brad Guzan,
16,Hull City,38,10,7,21,38,53,-15,37,24117,Nikica Jelavić - 5,Allan McGregor,→ UEFA Europa League grâce à sa défaite en coupe 2
17,West Bromwich Albion,38,7,15,16,43,59,-16,36,25194,Saido Berahino / Stéphane Sessègnon - 5,Ben Foster,
18,Norwich City,38,8,9,21,28,62,-34,33,26805,Robert Snodgrass / Gary Hooper - 6,John Ruddy,Relégué
19,Fulham,38,9,5,24,40,85,-45,32,24977,Steve Sidwell - 7,David Stockdale,Relégué
20,Cardiff City,38,7,9,22,32,74,-42,30,27430,Jordon Mutch - 7,David Marshall,Relégué
