Clt,Équipe,MJ,V,N,D,BM,BE,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Notes
1,Arsenal,38,23,9,6,68,33,+35,78,38053,Dennis Bergkamp - 16,David Seaman,→ UEFA Champions League grâce à sa bonne place dans le classement et victoire en FA Cup
2,Manchester United,38,23,8,7,73,26,+47,77,55164,Andy Cole - 15,Peter Schmeichel,→ UEFA Champions League grâce à sa bonne place dans le classement
3,Liverpool,38,18,11,9,68,42,+26,65,40628,Michael Owen - 18,David James,→ UEFA Europa League grâce à sa bonne place dans le classement
4,Chelsea,38,20,3,15,71,43,+28,63,33306,Tore André Flo - 11,Ed de Goey,→ UEFA Cup Winners' Cup et victoire en League Cup
5,Leeds United,38,17,8,13,57,46,+11,59,34444,Jimmy Floyd Hasselbaink - 16,Nigel Martyn,→ UEFA Europa League grâce à sa bonne place dans le classement
6,Blackburn Rovers,38,16,10,12,57,52,+5,58,25028,Chris Sutton - 18,Tim Flowers,→ UEFA Europa League grâce à sa bonne place dans le classement
7,Aston Villa,38,17,6,15,49,48,+1,57,35956,Dwight Yorke - 12,Mark Bosnich,→ UEFA Cup 1
8,West Ham United,38,16,8,14,56,57,-1,56,24921,John Hartson - 15,Craig Forrest Luděk Mikloško,
9,Derby County,38,16,7,15,52,49,+3,55,29027,Paulo Wanchope - 13,Mart Poom,
10,Leicester City,38,13,14,11,51,41,+10,53,20615,Emile Heskey - 10,Kasey Keller,
11,Coventry City,38,12,16,10,46,44,+2,52,19722,Dion Dublin - 18,Steve Ogrizovic,
12,Southampton,38,14,6,18,50,55,-5,48,15159,Egil Østenstad / Matt Le Tissier - 11,Paul Jones,
13,Newcastle United,38,11,11,16,35,44,-9,44,36663,John Barnes - 6,Shay Given,→ UEFA Cup Winners' Cup grâce à sa victoire en coupe 2
14,Tottenham Hotspur,38,11,11,16,44,56,-12,44,28763,Jürgen Klinsmann - 9,Ian Walker,
15,Wimbledon,38,10,14,14,34,46,-12,44,16682,Carl Leaburn / Michael Hughes - 4,Neil Sullivan,
16,Sheffield Wednesday,38,12,8,18,52,67,-15,44,28706,Paolo Di Canio - 12,Kevin Pressman,
17,Everton,38,9,13,16,41,56,-15,40,35090,Duncan Ferguson - 11,Thomas Myhre,
18,Bolton Wanderers,38,9,13,16,41,61,-20,40,24352,Nathan Blake - 12,Keith Branagan,Relégué
19,Barnsley,38,10,5,23,37,82,-45,35,18428,Neil Redfearn - 10,David Watson,Relégué
20,Crystal Palace,38,8,9,21,37,71,-34,33,22266,Neil Shipperley - 7,Kevin Miller,Relégué → UEFA Intertoto Cup
