Clt,Équipe,MJ,V,N,D,BM,BE,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Notes
1,Manchester United,38,24,8,6,79,31,+48,80,67489,Teddy Sheringham - 15,Fabien Barthez,→ UEFA Champions League grâce à sa bonne place dans le classement
2,Arsenal,38,20,10,8,63,38,+25,70,37974,Thierry Henry - 17,David Seaman,→ UEFA Champions League grâce à sa bonne place dans le classement
3,Liverpool,38,20,9,9,71,39,+32,69,43698,Michael Owen - 16,Sander Westerveld,→ UEFA Champions League grâce à sa bonne place dans le classement et victoire en FA Cup et victoire en League Cup
4,Leeds United,38,20,8,10,64,43,+21,68,38974,Mark Viduka - 17,Nigel Martyn,→ UEFA Europa League grâce à sa bonne place dans le classement
5,Ipswich Town,38,20,6,12,57,42,+15,66,22532,Marcus Stewart - 19,Richard Wright,→ UEFA Europa League grâce à sa bonne place dans le classement 1
6,Chelsea,38,17,10,11,68,45,+23,61,34700,Jimmy Floyd Hasselbaink - 23,Carlo Cudicini,→ UEFA Europa League grâce à sa bonne place dans le classement 2
7,Sunderland,38,15,12,11,46,41,+5,57,46790,Kevin Phillips - 14,Thomas Sørensen,
8,Aston Villa,38,13,15,10,46,43,+3,54,31522,Dion Dublin - 8,David James,→ UEFA Intertoto Cup grâce à sa bonne place dans le classement
9,Charlton Athletic,38,14,10,14,50,57,-7,52,20022,Jonatan Johansson - 11,Dean Kiely,
10,Southampton,38,14,10,14,40,48,-8,52,15115,James Beattie - 11,Paul Jones,
11,Newcastle United,38,14,9,15,44,50,-6,51,51309,Nolberto Solano / Carl Cort - 6,Shay Given,→ UEFA Intertoto Cup grâce à sa bonne place dans le classement
12,Tottenham Hotspur,38,13,10,15,47,54,-7,49,35194,Les Ferdinand - 10,Neil Sullivan,
13,Leicester City,38,14,6,18,39,51,-12,48,20452,Ade Akinbiyi - 9,Tim Flowers,
14,Middlesbrough,38,9,15,14,44,44,0,42,30747,Alen Bokšić - 12,Mark Schwarzer,
15,West Ham United,38,10,12,16,45,50,-5,42,25697,Frédéric Kanouté - 11,Shaka Hislop,
16,Everton,38,11,9,18,45,59,-14,42,34130,Kevin Campbell - 9,Paul Gerrard,
17,Derby County,38,10,12,16,37,59,-22,42,28550,Malcolm Christie - 8,Mart Poom,
18,Manchester City,38,8,10,20,41,65,-24,34,34058,Paulo Wanchope - 9,Nicky Weaver,Relégué
19,Coventry City,38,8,10,20,36,63,-27,34,20582,Mustapha Hadji / John Hartson - 6,Chris Kirkland,Relégué
20,Bradford City,38,5,11,22,30,70,-40,26,18510,Benito Carbone - 5,Gary Walsh,Relégué
