Pos.,Name,League,FA Cup,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Apps,,,Goals,Apps,,,,,Goals,Apps,,,,Goals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FW,  Albert Allen,21,,,,,,18,3,,,,,,,,1,24,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GK,  Walter Ashmore,1,,,,,,,,,0,0,,,,,,,,,,,0,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FW,  Arthur Brown,22,,,,,,,,,,,,7,3,,,,,,,,,,,,,,1,25,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,
HB,  John Burton,16,,,,,,,,,,,,,,,0,3,,,,,,,,,,,,,,,,,0,19,,,,,,,,,,,,,,,,0,,,,,,,,,,,
FB,  Frank Coulton,19,,,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,,,,0,21,,,,,,,,,,,,,,,,,,,0,,
FB,  Gershom Cox,22,,,,,,,,,,,,,,,,,,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,0,25,0,,,,,,,,,,,,,,
HB,  Frankie Dawson,3,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,,,,,,,,
HB,  Harry Devey,21,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,0,,
HB,  Arthur Dixon,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
FW,  Batty Garvey,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,
FW,  Archie Goodall,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,0,14,7,,,,,,,,,,,,,,,,,,,,,
FW,  Tommy Green,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,1,25,16,,,,,,,,,,,,,,,,,,
FW,  Thomas Harrison,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,,,,,,,,,,,,,,
FW,  Dennis Hodgetts,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,3,20,10,,,,,,,,,,,,
FW,  Archie Hunter,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,3,22,9,,,,,,,,,
GK,  Jimmy Warner,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,24,0,,,,,,
HB,  Arthur Wollaston,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,5,0,,,
HB,  Harry Yates,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,15,0
