Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Manchester City,42,26,6,10,86,43,2.000,+43,58,,,,League Champions and qualified for UEFA Champions League
2,Manchester United,42,24,8,10,89,55,1.618,+34,56,57552,,,qualified for UEFA Champions League
3,Liverpool,42,22,11,9,71,40,1.775,+31,55,46755,,,Participated in Inter-Cities Fairs Cup
4,Leeds United,42,22,9,11,71,41,1.732,+30,53,,,,
5,Everton,42,23,6,13,67,40,1.675,+27,52,46983,,,
6,Chelsea,42,18,12,12,62,68,0.912,-6,48,,,,Participated in Inter-Cities Fairs Cup
7,Tottenham Hotspur,42,19,9,14,70,59,1.186,+11,47,,,,
8,West Bromwich Albion,42,17,12,13,75,62,1.210,+13,46,27761,,,qualified for UEFA Cup Winners` Cup and FA Cup winners
9,Arsenal,42,17,10,15,60,56,1.071,+4,44,,,,
10,Newcastle United,42,13,15,14,54,67,0.806,-13,41,37239,,,Participated in Inter-Cities Fairs Cup
11,Nottingham Forest,42,14,11,17,52,64,0.813,-12,39,32715,,,
12,West Ham United,42,14,10,18,73,69,1.058,+4,38,,,,
13,Leicester City,42,13,12,17,64,69,0.928,-5,38,,,,
14,Burnley,42,14,10,18,64,71,0.901,-7,38,17435,,,
15,Sunderland,42,13,11,18,51,61,0.836,-10,37,30873,,,
16,Southampton,42,13,11,18,66,83,0.795,-17,37,,,,
17,Wolverhampton Wanderers,42,14,8,20,66,75,0.880,-9,36,35017,,,
18,Stoke City,42,14,7,21,50,73,0.685,-23,35,21949,,,
19,Sheffield Wednesday,42,11,12,19,51,63,0.810,-12,34,31735,,,
20,Coventry City,42,9,15,18,51,71,0.718,-20,33,,,,
21,Sheffield United,42,11,10,21,49,70,0.700,-21,32,22497,,,Relegated
22,Fulham,42,10,7,25,56,98,0.571,-42,27,,,,Relegated
