Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Liverpool,42,26,5,11,92,45,2.044,+47,57,45032,,,League Champions and qualified for UEFA Champions League
2,Manchester United,42,23,7,12,90,62,1.452,+28,53,44125,,,
3,Everton,42,21,10,11,84,64,1.313,+20,52,49401,,,
4,Tottenham Hotspur,42,22,7,13,97,81,1.198,+16,51,43800,,,
5,Chelsea,42,20,10,12,72,56,1.286,+16,50,31305,,,
6,Sheffield Wednesday,42,19,11,12,84,67,1.254,+17,49,24051,,,Participated in Inter-Cities Fairs Cup
7,Blackburn Rovers,42,18,10,14,89,65,1.369,+24,46,21543,,,
8,Arsenal,42,17,11,14,90,82,1.098,+8,45,34784,,,Participated in Inter-Cities Fairs Cup
9,Burnley,42,17,10,15,71,64,1.109,+7,44,19755,,,
10,West Bromwich Albion,42,16,11,15,70,61,1.148,+9,43,22362,,,
11,Leicester City,42,16,11,15,61,58,1.052,+3,43,24142,,,League Cup Winners
12,Sheffield United,42,16,11,15,61,64,0.953,-3,43,21654,,,
13,Nottingham Forest,42,16,9,17,64,68,0.941,-4,41,22497,,,
14,West Ham United,42,14,12,16,69,74,0.932,-5,40,24591,,,FA Cup winners and qualified for UEFA Cup Winners` Cup
15,Fulham,42,13,13,16,58,65,0.892,-7,39,21163,,,
16,Wolverhampton Wanderers,42,12,15,15,70,80,0.875,-10,39,22574,,,
17,Stoke City,42,14,10,18,77,78,0.987,-1,38,30315,,,
18,Blackpool,42,13,9,20,52,73,0.712,-21,35,16540,,,
19,Aston Villa,42,11,12,19,62,71,0.873,-9,34,22346,,,
20,Birmingham City,42,11,7,24,54,92,0.587,-38,29,21996,,,
21,Bolton Wanderers,42,10,8,24,48,80,0.600,-32,28,17018,,,Relegated
22,Ipswich Town,42,9,7,26,56,121,0.463,-65,25,16004,,,Relegated
