Pos,Team,Pld,HW,HD,HL,HGF,HGA,AW,AD,AL,AGF,AGA,GAv,Pts,Qualification
1,Sunderland,30,13,2,0,51,14,8,3,4,29,23,2.162,47,League Champions
2,Everton,30,12,2,1,47,18,6,4,5,35,32,1.640,42,
3,Aston Villa,30,12,2,1,51,12,5,3,7,31,31,1.907,39,FA Cup Winners
4,Preston North End,30,9,3,3,32,14,6,2,7,30,32,1.348,35,
5,Blackburn Rovers,30,9,5,1,40,15,2,5,8,19,34,1.204,32,
6,Sheffield United,30,10,2,3,33,17,4,2,9,24,38,1.036,32,
7,Nottingham Forest,30,10,1,4,33,22,3,4,8,17,34,0.893,31,
8,Sheffield Wednesday,30,10,2,3,36,19,2,2,11,14,36,0.909,28,
9,Burnley,30,8,2,5,28,24,3,2,10,16,32,0.786,26,
10,Bolton Wanderers,30,8,3,4,45,23,1,4,10,16,39,0.984,25,
11,Wolverhampton Wanderers,30,7,4,4,24,25,2,3,10,19,38,0.683,25,
12,Birminghan City,30,6,6,3,35,28,3,1,11,15,46,0.676,25,
13,West Bromwich Albion,30,9,2,4,38,21,1,2,12,13,45,0.773,24,
14,Stoke City,30,7,3,5,35,25,2,3,10,15,42,0.746,24,Remained in First Division
15,Derby County,30,4,5,6,23,23,3,4,8,22,45,0.662,23,Remained in First Division
16,Liverpool,30,6,4,5,38,28,1,4,10,13,42,0.729,22,Invited to join Second Division
