Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Liverpool,19,7,8,59,35,1.686,+24,45,,,,League Champions
2,Sunderland,15,,13,6,57,26,2.192,+31,43,,,,
3,Notts County,18,4,12,54,46,1.174,+8,40,,,,
4,Nottingham Forest,16,7,11,53,36,1.472,+17,39,,,,
5,Bury,16,7,11,53,37,1.432,+16,39,,,,
6,Newcastle United,14,10,10,42,37,1.135,+5,38,,,,
7,Evertonn,16,5,13,55,42,1.310,+13,37,,,,
8,The Wednesday,13,10,11,52,42,1.238,10,36,,,,
9,Blackburn Rovers,12,9,13,39,47,0.830,-8,33,,,,
10,Bolton Wanderers,13,7,14,39,55,0.709,-16,33,,,,
11,Manchester City,13,6,15,48,58,0.828,-10,32,,,,
12,Derby County,12,7,15,55,42,1.310,+13,31,,,,
13,Wolverhampton Wanderers,9,13,12,39,55,0.709,-16,31,,,,
14,Sheffield United,12,7,15,35,52,0.673,-17,31,,,,
15,Aston Villa,10,10,14,45,51,0.882,-6,30,,,,
16,Stoke,11,5,18,46,57,0.807,-11,27,,,,
17,Preston North End,9,7,18,49,75,0.653,-26,25,,,,Re-elected
18,West Bromwich Albion,7,8,19,35,62,0.565,-27,22,,,,Re-elected















