Pos,"Team
v�
t�
e�",Pld,HW,HD,HL,HGF,HGA,AW,AD,AL,AGF,AGA,GAv,Pts,Qualification
1,Aston Villa,30,14,1,0,47,17,6,4,5,31,28,1.733,45,League Champions
2,Derby County,30,12,2,1,42,13,5,5,5,26,22,1.943,41,
3,Everton,30,10,4,1,40,17,6,3,6,26,26,1.535,39,
4,Bolton Wanderers,30,12,2,1,34,14,4,3,8,15,23,1.324,37,
5,Sunderland,30,10,5,0,36,14,5,2,8,16,27,1.268,37,
6,Stoke City,30,12,0,3,43,11,3,0,12,13,36,1.191,30,
7,Sheffield Wednesday,30,10,2,3,31,18,2,3,10,13,35,0.830,29,FA Cup Winners
8,Blackburn Rovers,30,10,1,4,26,18,2,4,9,14,32,0.800,29,
9,Preston North End,30,8,5,2,31,18,3,1,11,13,30,0.917,28,
10,Burnley,30,8,5,2,33,11,2,2,11,15,33,1.091,27,
11,Bury,30,7,1,7,32,24,5,2,8,18,30,0.926,27,
12,Sheffield United,30,9,4,2,28,12,1,2,12,12,38,0.800,26,
13,Nottingham Forest,30,11,1,3,34,16,0,2,13,8,41,0.737,25,
14,Wolverhampton Wanderers,30,10,0,5,43,18,0,1,14,18,47,0.938,21,
15,Birminghan City,30,7,2,6,22,24,1,2,12,17,55,0.494,20,Invited to join Second Division
16,West Bromwich Albion,30,5,4,6,18,22,1,3,11,12,37,0.508,19,Remained in First Division
