Pos,"Team
v
t
e",Pld,HW,HD,HL,HGF,HGA,AW,AD,AL,AGF,AGA,GAv,Pts,Qualification or relegation
1,Leeds United (C),42,18,3,0,41,9,9,10,2,25,17,2.538,67,Qualified for European Cup
2,Liverpool,42,16,4,1,36,10,9,7,5,27,14,2.625,61,1968–69 Inter-Cities Fairs Cup
3,Everton,42,14,5,2,43,10,7,10,4,34,26,2.139,57,
4,Arsenal,42,12,6,3,31,12,10,6,5,25,15,2.074,56,
5,Chelsea,42,11,7,3,40,24,9,3,9,33,29,1.377,50,1968–69 Inter-Cities Fairs Cup
6,Tottenham Hotspur,42,10,8,3,39,22,4,9,8,22,29,1.196,45,
7,Southampton,42,13,5,3,41,21,3,8,10,16,27,1.188,45,
8,West Ham United,42,10,8,3,47,22,3,10,8,19,28,1.320,44,
9,Newcastle United,42,12,7,2,40,20,3,7,11,21,35,1.109,44,1968–69 Inter-Cities Fairs Cup
10,West Bromwich Albion,42,11,7,3,43,26,5,4,12,21,41,0.955,43,
11,Manchester United,42,13,5,3,38,18,2,7,12,19,35,1.075,42,
12,Ipswich Town,42,10,4,7,32,26,5,7,9,27,34,0.983,41,
13,Manchester City,42,13,6,2,49,20,2,4,15,15,35,1.164,40,"FA Cup winners, qualified for Cup Winners' Cup"
14,Burnley,42,11,6,4,36,25,4,3,14,19,57,0.671,39,
15,Sheffield Wednesday,42,7,9,5,27,26,3,7,11,14,28,0.759,36,
16,Wolverhampton Wanderers,42,7,10,4,26,22,3,5,13,15,36,0.707,35,
17,Sunderland,42,10,6,5,28,18,1,6,14,15,49,0.642,34,
18,Nottingham Forest,42,6,6,9,17,22,4,7,10,28,35,0.789,33,
19,Stoke City,42,9,7,5,24,24,0,8,13,16,39,0.635,33,
20,Coventry City,42,8,6,7,32,22,2,5,14,14,42,0.719,31,
21,Leicester City,42,8,8,5,27,24,1,4,16,12,44,0.574,30,Relegated
22,Queens Park Rangers,42,4,7,10,20,33,0,3,18,19,62,0.411,18,
