Pos,Team,Pld,HW,HD,HL,HGF,HGA,AW,AD,AL,AGF,AGA,GAv,Pts,
1,Manchester United,42,18,3,0,51,20,7,7,7,32,31,1.627,60,"League Champions, qualified for 
1956–57 European CupPreliminary round"
2,Blackpool,42,13,4,4,56,27,7,5,9,30,35,1.387,49,
3,Wolverhampton Wanderers,42,15,2,4,51,27,5,7,9,38,38,1.369,49,
4,Manchester City,42,11,5,5,40,27,7,5,9,42,42,1.188,46,1955–56 FA Cup winners
5,Arsenal,42,13,4,4,38,22,5,6,10,22,39,0.984,46,
6,Birmingham City,42,12,4,5,51,26,6,5,10,24,31,1.316,45,Participated in 1955–58 Inter-Cities Fairs Cup
7,Burnley,42,11,3,7,37,20,7,5,9,27,34,1.185,44,
8,Bolton Wanderers,42,13,3,5,50,24,5,4,12,21,34,1.224,43,
9,Sunderland,42,10,8,3,44,36,7,1,13,36,59,0.842,43,
10,Luton Town,42,12,4,5,44,27,5,4,12,22,37,1.031,42,
11,Newcastle United,42,12,4,5,49,24,5,3,13,36,46,1.214,41,
12,Portsmouth,42,9,8,4,46,38,7,1,13,32,47,0.918,41,
13,West Bromwich Albion,42,13,3,5,37,25,5,2,14,21,45,0.829,41,
14,Charlton Athletic,42,13,2,6,47,26,4,4,13,28,55,0.926,40,
15,Everton,42,11,5,5,37,29,4,5,12,18,40,0.797,40,
16,Chelsea,42,10,4,7,32,26,4,7,10,32,51,0.831,39,
17,Cardiff City,42,11,4,6,36,32,4,5,12,19,37,0.797,39,Welsh Cup winners
18,Tottenham Hotspur,42,9,4,8,37,33,6,3,12,24,38,0.859,37,
19,Preston North End,42,6,5,10,32,36,8,3,10,41,36,1.014,36,
20,Aston Villa,42,9,6,6,32,29,2,7,12,20,40,0.754,35,
21,Huddersfield Town,42,9,4,8,32,30,5,3,13,22,53,0.651,35,Relegated
22,Sheffield United,42,8,6,7,31,35,4,3,14,32,42,0.818,33,
