Pos,Team,Pld,HW,HD,HL,HGF,HGA,AW,AD,AL,AGF,AGA,GAv,Pts,Qualification
1,Sunderland,30,13,2,0,58,17,9,2,4,42,19,2.778,48,League Champions
2,Preston North End,30,11,2,2,34,10,6,1,8,23,29,1.462,37,
3,Everton,30,9,3,3,44,17,7,1,7,30,34,1.451,36,
4,Aston Villa,30,12,1,2,50,24,4,2,9,23,38,1.177,35,
5,Bolton Wanderers,30,12,1,2,43,21,1,5,9,13,34,1.018,32,
6,Burnley,30,10,2,3,37,15,3,2,10,14,29,1.159,30,
7,Stoke,30,8,2,5,33,16,4,3,8,25,32,1.208,29,
8,West Bromwich Albion,30,9,2,4,35,17,3,3,9,23,52,0.841,29,
9,Blackburn Rovers,30,5,8,2,29,24,3,5,7,18,32,0.839,29,
10,Nottingham Forest[a],30,7,2,6,30,27,3,6,6,18,25,0.923,28,
11,Wolverhampton Wanderers,30,11,2,2,32,17,1,2,12,15,51,0.691,28,FA Cup Winners
12,The Wednesday[a],30,8,2,5,34,28,4,1,10,21,37,0.846,27,
13,Derby County,30,5,6,4,30,28,4,3,8,22,36,0.813,27,
14,Notts County,30,8,3,4,34,15,2,1,12,19,46,0.869,24[b],Into a test match
15,Accrington,30,5,5,5,29,34,1,6,8,28,47,0.704,23[c],
16,Newton Heath[a],30,6,3,6,39,35,0,3,12,11,50,0.588,18[d],
