Pos,Team,Pld,HW,HD,HL,HGF,HGA,AW,AD,AL,AGF,AGA,GAv,Pts,Qualification or relegation
1,Burnley,42,15,2,4,52,28,9,5,7,33,33,1.393,55,"League Champions, qualified for 1960–61 European Cup First round"
2,Wolverhampton Wanderers,42,15,3,3,63,28,9,3,9,43,39,1.582,54,"FA Cup winners, qualified for 1960–61 UEFA Cup Winners' Cup Quarter-finals"
3,Tottenham Hotspur,42,10,6,5,43,24,11,5,5,43,26,1.720,53,
4,West Bromwich Albion,42,12,4,5,48,25,7,7,7,35,32,1.456,49,
5,Sheffield Wednesday,42,12,7,2,48,20,7,4,10,32,39,1.356,49,
6,Bolton Wanderers,42,12,5,4,37,27,8,3,10,22,24,1.157,48,
7,Manchester United,42,13,3,5,53,30,6,4,11,49,50,1.275,45,
8,Newcastle United,42,10,5,6,42,32,8,3,10,40,46,1.051,44,
9,Preston North End,42,10,6,5,43,34,6,6,9,36,42,1.039,44,
10,Fulham,42,12,4,5,42,28,5,6,10,31,52,0.913,44,
11,Blackpool,42,9,6,6,32,32,6,4,11,27,39,0.831,40,
12,Leicester City,42,8,6,7,38,32,5,7,9,28,43,0.880,39,
13,Arsenal,42,9,5,7,39,38,6,4,11,29,42,0.850,39,
14,West Ham United,42,12,3,6,47,33,4,3,14,28,58,0.824,38,
15,Everton,42,13,3,5,50,20,0,8,13,23,58,0.936,37,
16,Manchester City,42,11,2,8,47,34,6,1,14,31,50,0.929,37,
17,Blackburn Rovers,42,12,3,6,38,29,4,2,15,22,41,0.857,37,
18,Chelsea,42,7,5,9,44,50,7,4,10,32,41,0.835,37,Participated in 1958–60 Inter-Cities Fairs Cup
19,Birmingham City,42,9,5,7,37,36,4,5,12,26,44,0.788,36,
20,Nottingham Forest,42,8,6,7,30,28,5,3,13,20,46,0.676,35,
21,Leeds United,42,7,5,9,37,46,5,5,11,28,46,0.707,34,Relegated
22,Luton Town,42,6,5,10,25,29,3,7,11,25,44,0.685,30,
