Pos,Team,Pld,HW,HD,HL,HGF,HGA,AW,AD,AL,AGF,AGA,GAv,Pts,Qualification or relegation
1,Arsenal,42,15,3,3,60,30,6,9,6,37,34,1.516,54,League Champions
2,Preston North End,42,15,3,3,46,25,6,9,6,39,35,1.417,54,
3,Wolverhampton Wanderers,42,13,5,3,54,27,6,8,7,32,36,1.365,51,
4,West Bromwich Albion,42,13,3,5,35,19,8,5,8,31,41,1.100,50,
5,Charlton Athletic,42,12,8,1,47,22,7,3,11,30,41,1.222,49,
6,Burnley,42,11,6,4,36,20,7,6,8,31,32,1.288,48,
7,Blackpool,42,13,5,3,45,22,6,4,11,26,48,1.014,47,FA Cup winners
8,Manchester United,42,11,5,5,35,30,7,5,9,34,42,0.958,46,
9,Sunderland,42,11,9,1,42,27,4,4,13,26,55,0.829,43,
10,Tottenham Hotspur,42,11,6,4,55,37,4,5,12,23,32,1.130,41,
11,Aston Villa,42,9,7,5,36,23,5,6,10,27,38,1.033,41,
12,Cardiff City,42,7,8,6,32,17,7,4,10,22,29,1.174,40,
13,Middlesbrough,42,12,5,4,46,27,2,6,13,24,50,0.909,39,
14,Bolton Wanderers,42,9,4,8,39,35,6,5,10,22,34,0.884,39,
15,Portsmouth,42,10,6,5,44,34,4,4,13,30,49,0.892,38,
16,Newcastle United,42,9,5,7,34,33,5,4,12,25,37,0.843,37,
17,Liverpool,42,10,6,5,36,28,4,2,15,25,54,0.744,36,
18,Sheffield Wednesday,42,8,6,7,35,32,4,5,12,27,40,0.861,35,
19,Chelsea,42,10,4,7,35,24,2,7,12,21,42,0.848,35,
20,Manchester City,42,12,2,7,45,28,2,5,14,27,59,0.828,35,
21,Stoke City,42,10,4,7,35,26,2,6,13,18,40,0.803,34,Relegated
22,Derby County,42,9,6,6,41,29,2,4,15,18,45,0.797,32,
