Pos,Team,Pld,HW,HD,HL,HGF,HGA,AW,AD,AL,AGF,AGA,GAv,Pts,Qualification or relegation
1,Wolverhampton Wanderers,42,17,3,1,60,21,11,5,5,43,26,2.191,64,"League Champions, qualified for 1958–59 European Cup: First round"
2,Preston North End,42,18,2,1,63,14,8,5,8,37,37,1.961,59,
3,Tottenham Hotspur,42,13,4,4,58,33,8,5,8,35,44,1.208,51,
4,West Bromwich Albion,42,14,4,3,59,29,4,10,7,33,41,1.314,50,
5,Manchester City,42,14,4,3,58,33,8,1,12,46,67,1.040,49,
6,Burnley,42,16,2,3,52,21,5,3,13,28,53,1.081,47,
7,Blackpool,42,11,2,8,47,35,8,4,9,33,32,1.194,44,
8,Luton Town,42,13,3,5,45,22,6,3,12,24,41,1.095,44,
9,Manchester United[a],42,10,4,7,45,31,6,7,8,40,44,1.133,43,Invited to 1958–59 European Cup: Preliminary round[b]
10,Nottingham Forest,42,10,4,7,41,27,6,6,9,28,36,1.095,42,
11,Chelsea,42,10,5,6,47,34,5,7,9,36,45,1.051,42,
12,Arsenal,42,10,4,7,48,39,6,3,12,25,46,0.859,39,
13,Birmingham City,42,8,6,7,43,37,6,5,10,33,52,0.854,39,Participated in 1955–58 Inter-Cities Fairs Cup
14,Aston Villa,42,12,4,5,46,26,4,3,14,27,60,0.849,39,
15,Bolton Wanderers,42,9,5,7,38,35,5,5,11,27,52,0.747,38,FA Cup winners
16,Everton,42,5,9,7,34,35,8,2,11,31,40,0.867,37,
17,Leeds United,42,10,6,5,33,23,4,3,14,18,40,0.810,37,
18,Leicester City,42,11,4,6,59,41,3,1,17,32,71,0.813,33,
19,Newcastle United,42,6,4,11,38,42,6,4,11,35,39,0.901,32,
20,Portsmouth,42,10,6,5,45,34,2,2,17,28,54,0.830,32,
21,Sunderland,42,7,7,7,32,33,3,5,13,22,64,0.557,32,Relegated
22,Sheffield Wednesday,42,12,2,7,45,40,0,5,16,24,52,0.750,31,
