Pos,Team,Pld,HW,HD,HL,HGF,HGA,AW,AD,AL,AGF,AGA,GAv,Pts,Qualification or relegation
1,Huddersfield Town,42,14,6,1,50,17,9,5,7,42,43,1.533,57,League Champions
2,Arsenal,42,16,2,3,57,19,6,6,9,30,44,1.381,52,
3,Sunderland,42,17,2,2,67,30,4,4,13,29,50,1.200,48,
4,Bury,42,12,4,5,55,34,8,3,10,30,43,1.104,47,
5,Sheffield United,42,15,3,3,72,29,4,5,12,30,53,1.244,46,
6,Aston Villa,42,12,7,2,56,25,4,5,12,30,51,1.132,44,
7,Liverpool,42,9,8,4,43,27,5,8,8,27,36,1.111,44,
8,Bolton Wanderers,42,11,6,4,46,31,6,4,11,29,45,0.987,44,FA Cup Winners
9,Manchester United,42,12,4,5,40,26,7,2,12,26,47,0.904,44,
10,Newcastle United,42,13,3,5,59,33,3,7,11,25,42,1.120,42,
11,Everton,42,9,9,3,42,26,3,9,9,30,44,1.029,42,
12,Blackburn Rovers,42,11,6,4,59,33,4,5,12,32,47,1.138,41,
13,West Bromwich Albion,42,13,5,3,59,29,3,3,15,20,49,1.013,40,
14,Birmingham,42,14,2,5,35,25,2,6,13,31,56,0.815,40,
15,Tottenham Hotspur,42,11,4,6,45,36,4,5,12,21,43,0.835,39,
16,Cardiff City,42,8,5,8,30,25,8,2,11,31,51,0.803,39,
17,Leicester City,42,11,3,7,42,32,3,7,11,28,48,0.875,38,
18,West Ham United,42,14,2,5,45,27,1,5,15,18,49,0.829,37,
19,Leeds United,42,11,5,5,38,28,3,3,15,26,48,0.842,36,
20,Burnley,42,7,7,7,43,35,6,3,12,42,73,0.787,36,
21,Manchester City,42,8,7,6,48,42,4,4,13,41,58,0.890,35,Relegated
22,Notts County,42,11,4,6,37,26,2,3,16,17,48,0.730,33,
