Pos,Team,Pld,HW,HD,HL,HGF,HGA,AW,AD,AL,AGF,AGA,GAv,Pts,Qualification or relegation
1,Sunderland,38,14,2,3,47,17,11,2,6,39,26,2.000,54,League Champions
2,Aston Villa,38,13,4,2,57,21,6,8,5,29,31,1.654,50,FA Cup Winners
3,The Wednesday,38,12,4,3,44,23,9,3,7,31,32,1.364,49,
4,Manchester United,38,13,3,3,41,14,6,5,8,28,29,1.605,46,
5,Blackburn Rovers,38,10,5,4,54,21,6,8,5,25,22,1.837,45,
6,Manchester City,38,12,3,4,34,15,6,5,8,19,22,1.432,44,
7,Derby County,38,10,2,7,40,29,7,6,6,29,37,1.045,42,
8,Bolton Wanderers,38,10,6,3,36,20,6,4,9,26,43,0.984,42,
9,Oldham Athletic,38,11,7,1,33,12,3,7,9,17,43,0.909,42,
10,West Bromwich Albion,38,8,7,4,30,20,5,5,9,27,30,1.140,38,
11,Everton,38,8,2,9,28,31,7,5,7,20,23,0.889,37,
12,Liverpool,38,12,2,5,40,24,4,3,12,21,47,0.859,37,
13,Bradford City,38,10,5,4,33,22,2,6,11,17,38,0.833,35,
14,Newcastle United,38,8,5,6,30,23,5,3,11,17,24,1.000,34,
15,Sheffield United,38,10,5,4,36,24,4,1,14,20,46,0.800,34,
16,Middlesbrough,38,6,9,4,29,22,5,1,13,26,47,0.797,32,
17,Tottenham Hotspur,38,9,3,7,28,25,3,3,13,17,47,0.625,30,
18,Chelsea,38,7,2,10,29,40,4,4,11,22,33,0.699,28,
19,Notts County,38,6,4,9,19,20,1,5,13,9,36,0.500,23,Relegated
20,Woolwich Arsenal,38,1,8,10,11,31,2,4,13,15,43,0.351,18,
