Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Liverpool (C),42,22,14,6,73,32,41,80,Qualification for the European Cup
2,Southampton,42,22,11,9,66,38,28,77,Qualification for the UEFA Cup
3,Nottingham Forest,42,22,8,12,76,45,31,74,
4,Manchester United,42,20,14,8,71,41,30,74,
5,Queens Park Rangers,42,22,7,13,67,37,30,73,
6,Arsenal,42,18,9,15,74,60,14,63,
7,Everton,42,16,14,12,44,42,2,62,Qualification for the European Cup Winners' Cup[a]
8,Tottenham Hotspur,42,17,10,15,64,65,?1,61,Qualification for the UEFA Cup[b]
9,West Ham United,42,17,9,16,60,55,5,60,
10,Aston Villa,42,17,9,16,59,61,?2,60,
11,Watford,42,16,9,17,68,77,?9,57,
12,Ipswich Town,42,15,8,19,55,57,?2,53,
13,Sunderland,42,13,13,16,42,53,?11,52,
14,Norwich City,42,12,15,15,48,49,?1,51,
15,Leicester City,42,13,12,17,65,68,?3,51,
16,Luton Town,42,14,9,19,53,66,?13,51,
17,West Bromwich Albion,42,14,9,19,48,62,?14,51,
18,Stoke City,42,13,11,18,44,63,?19,50,
19,Coventry City,42,13,11,18,57,77,?20,50,
20,Birmingham City (R),42,12,12,18,39,50,?11,48,Relegation to the Second Division
21,Notts County (R),42,10,11,21,50,72,?22,41,
22,Wolverhampton Wanderers (R),42,6,11,25,27,80,?53,29,
