Pos,Team,Pld,HW,HD,HL,HGF,HGA,AW,AD,AL,AGF,AGA,GAv,Pts,Qualification or relegation
1,Newcastle United,38,14,1,4,32,20,10,4,5,33,21,1.585,53,League Champions
2,Everton,38,11,3,5,51,28,7,7,5,31,29,1.439,46,
3,Sunderland,38,14,0,5,41,23,7,2,10,37,40,1.238,44,
4,Blackburn Rovers,38,6,6,7,29,26,8,7,4,32,24,1.220,41,
5,The Wednesday,38,15,0,4,48,24,2,6,11,19,37,1.098,40,
6,Woolwich Arsenal,38,9,3,7,24,18,5,7,7,28,31,1.061,38,
7,Aston Villa,38,8,7,4,31,22,6,3,10,27,34,1.036,38,
8,Bristol City,38,7,7,5,24,25,6,5,8,21,33,0.776,38,
9,Middlesbrough,38,11,2,6,38,21,3,7,9,21,32,1.113,37,
10,Preston North End,38,8,7,4,29,17,5,4,10,19,27,1.091,37,
11,Chelsea,38,8,7,4,33,22,6,2,11,23,39,0.918,37,
12,Sheffield United,38,9,5,5,31,25,5,4,10,20,34,0.864,37,
13,Manchester United,38,10,3,6,37,33,5,4,10,21,35,0.853,37,FA Cup Winners
14,Nottingham Forest,38,9,2,8,39,24,5,6,8,27,33,1.158,36,
15,Notts County,38,9,4,6,31,23,5,4,10,20,25,1.063,36,
16,Liverpool,38,9,5,5,36,25,6,1,12,21,40,0.877,36,
17,Bury,38,9,6,4,35,27,5,2,12,28,50,0.818,36,
18,Bradford City,38,7,6,6,27,20,5,4,10,20,27,1.000,34,
19,Manchester City,38,12,3,4,50,23,3,1,15,17,46,0.971,34,Relegated
20,Leicester Fosse,38,6,6,7,32,41,2,3,14,22,61,0.529,25,
