Pos,Team,Pld,HW,HD,HL,HGF,HGA,AW,AD,AL,AGF,AGA,GAv,Pts,Qualification or relegation
1,Everton,42,11,8,2,60,28,9,5,7,42,38,1.545,53,League Champions
2,Huddersfield Town,42,15,1,5,57,31,7,6,8,34,37,1.338,51,
3,Leicester City,42,14,5,2,66,25,4,7,10,30,47,1.333,48,
4,Derby County,42,12,4,5,59,30,5,6,10,37,53,1.157,44,
5,Bury,42,13,1,7,53,35,7,3,11,27,45,1.000,44,
6,Cardiff City,42,12,7,2,44,27,5,3,13,26,53,0.875,44,Welsh Cup winners
7,Bolton Wanderers,42,12,5,4,47,26,4,6,11,34,40,1.227,43,
8,Aston Villa,42,13,3,5,52,30,4,6,11,26,43,1.068,43,
9,Newcastle United,42,9,7,5,49,41,6,6,9,30,40,0.975,43,
10,Arsenal,42,10,6,5,49,33,3,9,9,33,53,0.953,41,
11,Birmingham,42,10,7,4,36,25,3,8,10,34,50,0.933,41,
12,Blackburn Rovers,42,13,5,3,41,22,3,4,14,25,56,0.846,41,FA Cup Winners
13,Sheffield United,42,12,4,5,56,42,3,6,12,23,44,0.919,40,
14,The Wednesday,42,9,6,6,45,29,4,7,10,36,49,1.038,39,
15,Sunderland,42,9,5,7,37,29,6,4,11,37,47,0.974,39,
16,Liverpool,42,10,6,5,54,36,3,7,11,30,51,0.966,39,
17,West Ham United,42,9,7,5,48,34,5,4,12,33,54,0.920,39,
18,Manchester United,42,12,6,3,51,27,4,1,16,21,53,0.900,39,
19,Burnley,42,12,5,4,55,31,4,2,15,27,67,0.837,39,
20,Portsmouth,42,13,4,4,40,23,3,3,15,26,67,0.733,39,
21,Tottenham Hotspur,42,12,3,6,47,34,3,5,13,27,52,0.860,38,Relegated
22,Middlesbrough,42,7,9,5,46,35,4,6,11,35,53,0.920,37,
