Pos,Team,Pld,HW,HD,HL,HGF,HGA,AW,AD,AL,AGF,AGA,GAv,Pts,Qualification or relegation
1,Manchester United,42,15,3,3,55,21,8,8,5,40,31,1.827,57,League Champions
2,Tottenham Hotspur,42,16,1,4,45,20,6,8,7,31,31,1.490,53,
3,Arsenal,42,13,7,1,54,30,8,4,9,26,31,1.311,53,
4,Portsmouth,42,13,3,5,42,25,7,5,9,26,33,1.172,48,
5,Bolton Wanderers,42,11,7,3,35,26,8,3,10,30,35,1.066,48,
6,Aston Villa,42,13,3,5,49,28,6,6,9,30,42,1.129,47,
7,Preston North End,42,10,5,6,39,22,7,7,7,35,32,1.370,46,
8,Newcastle United,42,12,4,5,62,28,6,5,10,36,45,1.342,45,FA Cup winners
9,Blackpool,42,12,5,4,40,27,6,4,11,24,37,1.000,45,
10,Charlton Athletic,42,12,5,4,41,24,5,5,11,27,39,1.079,44,
11,Liverpool,42,6,11,4,31,25,6,8,7,26,36,0.934,43,
12,Sunderland,42,8,6,7,41,28,7,6,8,29,33,1.148,42,
13,West Bromwich Albion,42,8,9,4,38,29,6,4,11,36,48,0.961,41,
14,Burnley,42,9,6,6,32,19,6,4,11,24,44,0.889,40,
15,Manchester City,42,7,5,9,29,28,6,8,7,29,33,0.951,39,
16,Wolverhampton Wanderers,42,8,6,7,40,33,4,8,9,33,40,1.000,38,
17,Derby County,42,10,4,7,43,37,5,3,13,20,43,0.788,37,
18,Middlesbrough,42,12,4,5,37,25,3,2,16,27,63,0.727,36,
19,Chelsea,42,10,3,8,31,29,4,5,12,21,43,0.722,36,
20,Stoke City,42,8,6,7,34,32,4,1,16,15,56,0.557,31,
21,Huddersfield Town,42,9,3,9,32,35,1,5,15,17,47,0.598,28,Relegated
22,Fulham,42,5,7,9,38,31,3,4,14,20,46,0.753,27,
