Pos,"Team
v
t
e",Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Liverpool (C),42,23,11,8,62,33,29,57,Qualification for the European Cup second round
2,Manchester City,42,21,14,7,60,34,26,56,Qualification for the UEFA Cup
3,Ipswich Town,42,22,8,12,66,39,27,52,
4,Aston Villa,42,22,7,13,76,50,26,51,
5,Newcastle United,42,18,13,11,64,49,15,49,
6,Manchester United,42,18,11,13,71,62,9,47,Qualification for the European Cup Winners' Cup first round[a]
7,West Bromwich Albion,42,16,13,13,62,56,6,45,
8,Arsenal,42,16,11,15,64,59,5,43,
9,Everton,42,14,14,14,62,64,?2,42,
10,Leeds United,42,15,12,15,48,51,?3,42,
11,Leicester City,42,12,18,12,47,60,?13,42,
12,Middlesbrough,42,14,13,15,40,45,?5,41,
13,Birmingham City,42,13,12,17,63,61,2,38,
14,Queens Park Rangers,42,13,12,17,47,52,?5,38,
15,Derby County,42,9,19,14,50,55,?5,37,
16,Norwich City,42,14,9,19,47,64,?17,37,
17,West Ham United,42,11,14,17,46,65,?19,36,
18,Bristol City,42,11,13,18,38,48,?10,35,
19,Coventry City,42,10,15,17,48,59,?11,35,
20,Sunderland (R),42,11,12,19,46,54,?8,34,Relegation to the Second Division
21,Stoke City (R),42,10,14,18,28,51,?23,34,
22,Tottenham Hotspur (R),42,12,9,21,48,72,?24,33,
