Pos,Team,Pld,HW,HD,HL,HGF,HGA,AW,AD,AL,AGF,AGA,GAv,Pts,Qualification or relegation
1,Aston Villa,34,12,4,1,45,18,10,2,5,32,17,2.200,50,League Champions
2,Sheffield United,34,11,5,1,40,11,7,7,3,23,22,1.909,48,
3,Sunderland,34,12,2,3,27,9,7,1,9,23,26,1.429,41,
4,Wolverhampton Wanderers,34,8,4,5,28,16,7,5,5,20,21,1.297,39,
5,Newcastle United,34,10,5,2,34,15,3,5,9,19,28,1.233,36,
6,Derby County,34,11,2,4,32,15,3,6,8,13,28,1.047,36,
7,Manchester City,34,10,3,4,33,15,3,5,9,17,29,1.136,34,
8,Nottingham Forest,34,12,3,2,42,16,1,5,11,14,39,1.018,34,
9,Stoke,34,9,5,3,24,15,4,3,10,13,30,0.822,34,
10,Liverpool,34,9,4,4,31,19,5,1,11,18,26,1.089,33,
11,Everton,34,11,1,5,30,15,2,6,9,17,34,0.959,33,
12,Bury,34,12,2,3,29,14,1,4,12,11,30,0.909,32,FA Cup Winners
13,West Bromwich Albion,34,8,6,3,27,11,3,2,12,16,40,0.843,30,
14,Blackburn Rovers,34,12,2,3,38,22,1,2,14,11,39,0.803,30,
15,Notts County,34,5,7,5,29,22,4,4,9,17,38,0.767,29,
16,Preston North End,34,9,3,5,28,20,3,1,13,10,28,0.792,28,
17,Burnley,34,10,2,5,28,17,1,3,13,6,37,0.630,27,Relegated
18,Glossop,34,4,6,7,19,22,0,4,13,12,52,0.419,18,
