Pos,Team,Pld,HW,HD,HL,HGF,HGA,AW,AD,AL,AGF,AGA,GAv,Pts,Qualification or relegation
1,Newcastle United,38,18,1,0,51,12,4,6,9,23,34,1.609,51,League Champions
2,Bristol City,38,12,3,4,37,18,8,5,6,29,29,1.404,48,
3,Everton,38,16,2,1,50,10,4,3,12,20,36,1.522,45,
4,Sheffield United,38,13,4,2,36,17,4,7,8,21,38,1.036,45,
5,Aston Villa,38,13,4,2,51,19,6,2,11,27,33,1.500,44,
6,Bolton Wanderers,38,10,4,5,35,18,8,4,7,24,29,1.255,44,
7,Woolwich Arsenal,38,15,1,3,38,15,5,3,11,28,44,1.119,44,
8,Manchester United,38,10,6,3,33,15,7,2,10,20,41,0.946,42,
9,Birmingham,38,13,5,1,41,17,2,3,14,11,35,1.000,38,
10,Sunderland,38,10,4,5,42,31,4,5,10,23,35,0.985,37,
11,Middlesbrough,38,11,2,6,33,21,4,4,11,23,42,0.889,36,
12,Blackburn Rovers,38,10,3,6,40,25,4,4,11,16,34,0.949,35,
13,The Wednesday,38,8,5,6,33,26,4,6,9,16,34,0.817,35,FA Cup Winners
14,Preston North End,38,13,4,2,35,19,1,3,15,9,38,0.772,35,
15,Liverpool,38,9,2,8,45,32,4,5,10,19,33,0.985,33,
16,Bury,38,9,4,6,30,23,4,2,13,28,45,0.853,32,
17,Manchester City,38,7,7,5,29,25,3,5,11,24,52,0.688,32,
18,Notts County,38,6,9,4,31,18,2,6,11,15,32,0.920,31,
19,Derby County,38,8,6,5,29,19,1,3,15,12,40,0.695,27,Relegated
20,Stoke,38,7,6,6,27,22,1,4,14,14,42,0.641,26,
