Clt,Équipe,MJ,V,N,D,BM,BE,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Notes
1,Manchester United,42,27,11,4,80,38,+42,92,44246,Eric Cantona - 18,Peter Schmeichel,→ UEFA Champions League grâce à sa bonne place dans le classement
2,Blackburn Rovers,42,25,9,8,63,36,+27,84,17303,Alan Shearer - 31,Tim Flowers,→ UEFA Cup grâce à sa bonne place dans le classement
3,Newcastle United,42,23,8,11,82,41,+41,77,33792,Andy Cole - 34,Pavel Srníček,→ UEFA Cup grâce à sa bonne place dans le classement
4,Arsenal,42,18,17,7,53,28,+25,71,30492,Ian Wright - 23,David Seaman,→ UEFA Cup Winners' Cup
5,Leeds United,42,18,16,8,65,39,+26,70,36368,Rod Wallace - 17,Mark Beeney,
6,Wimbledon,42,18,11,13,56,53,+3,65,10462,Dean Holdsworth - 17,Hans Segers,
7,Sheffield Wednesday,42,16,16,10,76,54,+22,64,27187,Mark Bright - 19,Kevin Pressman,
8,Liverpool,42,17,9,16,59,55,+4,60,38503,Ian Rush - 14,Bruce Grobbelaar,
9,Queens Park Rangers,42,16,12,14,62,61,+1,60,14133,Les Ferdinand - 16,Jan Stejskal,
10,Aston Villa,42,15,12,15,46,50,-4,57,28957,Dean Saunders - 10,Mark Bosnich,→ UEFA Cup grâce à sa victoire en coupe 1
11,Coventry City,42,14,14,14,43,45,-2,56,13564,Peter Ndlovu - 11,Steve Ogrizovic,
12,Norwich City,42,12,17,13,65,61,+4,53,18179,Chris Sutton - 25,Bryan Gunn,
13,West Ham United,42,13,13,16,47,58,-11,52,20595,Trevor Morley - 13,Luděk Mikloško,
14,Chelsea,42,13,12,17,49,53,-4,51,19211,Mark Stein - 13,Dmitri Kharine,→ UEFA Cup Winners' Cup grâce à sa défaite en coupe 2
15,Tottenham Hotspur,42,11,12,19,54,59,-5,45,27255,Teddy Sheringham - 14,Erik Thorstvedt,
16,Manchester City,42,9,18,15,38,49,-11,45,26709,Mike Sheron - 6,Tony Coton,
17,Everton,42,12,8,22,42,63,-21,44,22900,Tony Cottee - 16,Neville Southall,
18,Southampton,42,12,7,23,49,66,-17,43,14764,Matt Le Tissier - 25,Dave Beasant,
19,Ipswich Town,42,9,16,17,35,58,-23,43,16411,Ian Marshall - 10,Craig Forrest,
20,Sheffield United,42,8,18,16,42,60,-18,42,19562,Jostein Flo - 9,Alan Kelly Jr.,Relégué
21,Oldham Athletic,42,9,13,20,42,68,-26,40,12589,Graeme Sharp - 9,Jon Hallworth,Relégué
22,Swindon Town,42,5,15,22,47,100,-53,30,15011,Jan Åge Fjørtoft - 12,Fraser Digby,Relégué
