Clt,Équipe,MJ,V,N,D,BM,BE,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Notes
1,Blackburn Rovers,42,27,8,7,80,39,+41,89,25151,Alan Shearer - 34,Tim Flowers,→ UEFA Champions League grâce à sa bonne place dans le classement
2,Manchester United,42,26,10,6,77,29,+48,88,43664,Andrei Kanchelskis - 14,Peter Schmeichel,→ UEFA Cup grâce à sa bonne place dans le classement
3,Nottingham Forest,42,22,11,9,72,43,+29,77,22079,Stan Collymore - 23,Mark Crossley,→ UEFA Cup grâce à sa bonne place dans le classement
4,Liverpool,42,21,11,10,65,37,+28,74,33305,Robbie Fowler - 25,David James,→ UEFA Cup grâce à sa bonne place dans le classement
5,Leeds United,42,20,13,9,59,38,+21,73,33433,Tony Yeboah - 12,John Lukic,→ UEFA Cup grâce à sa bonne place dans le classement 1
6,Newcastle United,42,20,12,10,67,47,+20,72,34373,Peter Beardsley - 12,Pavel Srníček,
7,Tottenham Hotspur,42,16,14,12,66,58,+8,62,26032,Jürgen Klinsmann - 20,Ian Walker,
8,Queens Park Rangers,42,17,9,16,61,59,+2,60,14791,Les Ferdinand - 24,Tony Roberts,
9,Wimbledon,42,15,11,16,48,65,-17,56,9847,Efan Ekoku - 9,Hans Segers,
10,Southampton,42,12,18,12,61,63,-2,54,14496,Matt Le Tissier - 19,Bruce Grobbelaar,
11,Chelsea,42,13,15,14,50,55,-5,54,20709,John Spencer - 11,Dmitri Kharine,
12,Arsenal,42,13,12,17,53,49,+4,51,35062,Ian Wright - 18,David Seaman,
13,Sheffield Wednesday,42,13,12,17,49,57,-8,51,26527,Mark Bright - 11,Kevin Pressman,
14,West Ham United,42,13,11,18,44,48,-4,50,18728,Tony Cottee - 13,Luděk Mikloško,
15,Everton,42,11,17,14,44,51,-7,50,29102,Paul Rideout - 14,Neville Southall,→ UEFA Cup Winners' Cup grâce à sa victoire en coupe 2
16,Coventry City,42,12,14,16,44,62,-18,50,14518,Dion Dublin - 13,Steve Ogrizovic,
17,Manchester City,42,12,13,17,53,64,-11,49,21492,Uwe Rösler - 15,Tony Coton,
18,Aston Villa,42,11,15,16,51,56,-5,48,28676,Dean Saunders - 15,Mark Bosnich,
19,Crystal Palace,42,11,12,19,34,49,-15,45,14867,Chris Armstrong - 8,Nigel Martyn,Relégué
20,Norwich City,42,10,13,19,37,54,-17,43,18724,Ashley Ward - 8,Bryan Gunn,Relégué
21,Leicester City,42,6,11,25,45,80,-35,29,20235,Iwan Roberts / Mark Robins - 9,Kevin Poole,Relégué
22,Ipswich Town,42,7,6,29,36,93,-57,27,17581,Claus Thomsen - 5,Craig Forrest,Relégué
