Clt,Équipe,MJ,V,N,D,BM,BE,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Notes
1,Chelsea,38,27,5,6,103,32,+71,86,41423,Didier Drogba - 29,Petr Čech,→ UEFA Champions League grâce à sa bonne place dans le classement
2,Manchester United,38,27,4,7,86,28,+58,85,74864,Wayne Rooney - 26,Edwin van der Sar,→ UEFA Champions League grâce à sa bonne place dans le classement
3,Arsenal,38,23,6,9,83,41,+42,75,59927,Cesc Fàbregas - 15,Manuel Almunia,→ UEFA Champions League grâce à sa bonne place dans le classement
4,Tottenham Hotspur,38,21,7,10,67,41,+26,70,35794,Jermain Defoe - 18,Heurelho Gomes,→ UEFA Champions League grâce à sa bonne place dans le classement
5,Manchester City,38,18,13,7,73,45,+28,67,45470,Carlos Tevez - 23,Shay Given,→ UEFA Europa League grâce à sa bonne place dans le classement
6,Aston Villa,38,17,13,8,52,39,+13,64,38573,Gabby Agbonlahor - 13,Brad Friedel,→ UEFA Europa League grâce à sa bonne place dans le classement 1
7,Liverpool,38,18,9,11,61,35,+26,63,42864,Fernando Torres - 18,Pepe Reina,→ UEFA Europa League grâce à sa bonne place dans le classement 2
8,Everton,38,16,13,9,60,49,+11,61,36725,Louis Saha - 13,Tim Howard,
9,Birmingham City,38,13,11,14,38,47,-9,50,25246,Cameron Jerome - 10,Joe Hart,
10,Blackburn Rovers,38,13,11,14,41,55,-14,50,25428,David Dunn - 9,Paul Robinson,
11,Stoke City,38,11,14,13,34,48,-14,47,27162,Matthew Etherington - 5,Thomas Sørensen,
12,Fulham,38,12,10,16,39,46,-7,46,23909,Bobby Zamora - 8,Mark Schwarzer,
13,Sunderland,38,11,11,16,48,56,-8,44,38337,Darren Bent - 24,Craig Gordon,
14,Bolton Wanderers,38,10,9,19,42,67,-25,39,22200,Ivan Klasnić / Matthew Taylor - 8,Jussi Jääskeläinen,
15,Wolverhampton Wanderers,38,9,11,18,32,56,-24,38,28366,Kevin Doyle - 9,Marcus Hahnemann,
16,Wigan Athletic,38,9,9,20,37,79,-42,36,18006,Hugo Rodallega - 10,Chris Kirkland,
17,West Ham United,38,8,11,19,47,66,-19,35,33683,Carlton Cole - 10,Robert Green,
18,Burnley,38,8,6,24,42,82,-40,30,20654,Steven Fletcher - 8,Brian Jensen,Relégué
19,Hull City,38,6,12,20,34,75,-41,30,24390,Stephen Hunt - 6,Boaz Myhill,Relégué
20,Portsmouth,38,7,7,24,34,66,-32,19,18249,Aruna Dindane - 8,David James,9-point deduction 3 Relégué
